"","IP0981_1701","IP0982_1701","IP0993_1701","IP0995_1701","IP0999_1701","IP7100_1701","IP7103_1701","IP7105_1701"
"TM4SF1",542.734896478379,562.065246335715,1553.05570741939,29.0351879589794,2098.9492704766,1837.44762600834,17.6839479951058,396.846222689369
"TM4SF1-AS1",3.82242742145069,3.73485162052684,1.0958037557467,10.6993306618628,6.73049830001731,1.64771687618887,9.49789865990815,2.34300818242704
"TM4SF18",1.6494124960908,0,0,0.630718487330064,42.2608774807901,0.0455772401823416,0.437866495457879,0.0960141997629691
"TM4SF19",0.0175650923468886,0,0.457774175258916,0.0806005423223077,0.154642339991786,0.189292666025299,1.09113561009983,0
"TM4SF19-AS1",1.0227105190735,4.40241864997991,8.6017980527854,4.37291896746873,4.092682149976,7.21399579301585,104.921279343388,7.07091534735061
"TM4SF19-DYNLT2B",0.0452960478837288,0.204268929970805,0.118048687436222,0.103924475669849,0.132928171754637,0.195255669483329,0,0.0685551120823389
"TM4SF20",6.03748934891149,37.2405335733576,305.067713371732,0.386928644444991,56.605832061288,0.399833687536385,0.349204947722985,0.114859097316286
"TM4SF4",1.34874532051275,3.79045476827052,111.778408631919,0.29599360396235,7.51178386316986,4.32256534344731,0,0.718896994329376
"TM4SF5",4.93156906347866,15.1836679133486,36.3120464818769,0.136321563371678,81.4074904304299,13.5745749144087,0,130.168270218683
"TM6SF1",0.668037936536298,0.393539339274233,15.6926428797135,0.331395738734561,3.87455652817453,24.0881472338067,0.186928897100681,16.621149412312
"TM6SF2",0.2237053735186,2.18580049975001,3.20656433012619,0,0.410310994320181,0.321438951918533,0,0
"TM7SF2",24.6176452611367,78.4696711820365,156.52881443997,892.301142332115,211.673448663123,77.0315807415105,9.21227117211845,256.713709542499
"TM7SF3",17.827603482005,26.2910586472205,144.337860635874,118.88770702959,243.969314467898,79.3030791498534,0.975720425860358,163.10379194206
"TM9SF1",16.2156456645,21.8219496018174,102.364432115935,169.721941472624,148.540324265823,90.5372287350251,7.46154511960129,129.021937273162
"TM9SF2",19.1813055217824,22.1945690426428,215.342359793093,252.21869991052,176.434134603247,107.630915345139,2.01252645148134,125.388017650446
"TM9SF3",62.3019949166782,49.2708145816928,853.195608231097,376.61999978674,293.192909790639,160.57046938273,4.42213461156492,312.334169674585
"TM9SF4",23.2081340597152,51.2399682723615,142.110149612861,174.610415791289,132.503856247675,138.730500815678,1.81663157106934,177.981053575882
"TM9SF5P",0.567818132592622,2.61123698472365,1.32636089882211,0.902286854993367,2.85130837047278,0.403412030718025,0,1.06468503344304
"TMA16",5.39081346529297,12.4073417528056,36.2324444494107,45.2125401945983,19.7278978831372,22.5152300011933,1.06818149851824,20.0264936648724
"TMA16P2",0,0,0,0,0,0,0,1.27346833618951
"TMA7",606.174297749518,797.372387774027,1415.28081365142,2306.80835990124,1042.44788874964,1360.66664287372,130.526993795587,955.342988728352
"TMBIM1",110.748447887857,148.898057302998,1039.2230727605,288.360037799852,1398.40554874774,949.55029833043,22.3598839176001,1085.97645662023
"TMBIM4",5.62237685778464,14.0909910948455,62.4348114309327,60.6576617420545,57.3011421673185,73.3450694242084,0.203887631775185,36.4369688655494
"TMBIM6",164.284818992818,190.038330197959,1383.77904607352,1297.80986581428,972.490357019268,1062.19955088797,4.75090007737588,1402.80298155874
"TMBIM7P",0.0763553264234429,1.33429865352122,0.22386835705761,0.043796245113511,0.378128872887213,0.246856145447233,19.3678968858958,0.281684854444551
"TMC1",0.0127531326111889,0.0111828993905534,0.0415458587390283,0.00975333523701637,0.163738818968123,0.011452992600661,0,0.132699446757715
"TMC2",0.00314525904341523,0.0141839901999533,0,0,0.242293881896492,0.00677906449804358,0.195382072435661,0
"TMC3",0,0,0,0,0.0171774021830877,0,4.68645590978598,0
"TMC3-AS1",0.0017361047263452,0.0287071020151628,0.153835188460156,0.0079664245258882,0.171951677541522,0.104772497615728,0.0359486807198296,0.130065062036667
"TMC4",1.63903081763498,0.538959248987209,0.400460096125526,0.17627305487419,0.450936216189715,0,0,2.96515987577227
"TMC5",76.5974650977096,201.858815892601,484.661112710478,18.3077573660285,550.03312112027,41.8871033121814,4.01077942411826,181.585315414545
"TMC6",87.7006147328095,136.202249092159,264.089262775629,234.96171541066,237.901182254214,511.004669166221,27.8651864922335,193.112995275184
"TMC7",5.66213544372382,6.29185959791427,40.5966088763873,1.33190059005604,7.71255331714742,2.67467215339634,0.261314486365399,6.31258801785773
"TMC8",108.794453842498,35.6282007865056,207.887761275992,18.5483435190711,287.553028890365,963.225358645564,24.567189300986,252.563912027355
"TMCC1",1.46029616120539,3.17029671667228,11.2282506598857,12.616648025563,3.40989444114884,7.4010021716421,0.226711499045055,5.76977956230448
"TMCC1-DT",0.19024937547633,2.30831139613039,2.86867318909446,0.717101401119796,0.837473781082826,2.57745577652962,0.28138584171307,3.36273384692511
"TMCC2",0.210039358605457,0.0613927335071759,0.334519712559363,0.240950714609084,0.616392582584881,1.40841146432619,0.120810649753972,0.74174905689366
"TMCC3",0.298505307723932,6.53065571904093,6.03438592677668,0.323926078386294,13.6195789497146,10.1723090435466,0.167054189290049,3.26017662383988
"TMCO1",9.31667085006874,8.7335325157609,47.8747344528934,95.5632552935803,59.9425124943209,39.1232823593319,10.7100599208551,55.1374297693312
"TMCO1-AS1",0.86201948956935,2.67258662279342,3.08901939149983,10.5068748417006,7.82634560006615,1.50957189237201,2.23117757058031,10.0295569298102
"TMCO2",0.234662530562129,0.176373974705294,0,0.269197662792006,0.129122445380104,1.77021142868923,0,0
"TMCO3",8.22762033929858,10.0120870711228,87.6189017808432,167.317296324178,62.0294140581466,58.9737955498345,4.27557838768262,94.2826122393356
"TMCO4",2.14454399425725,9.06506712753464,9.20325606438816,15.8237178681782,22.9208976562463,18.3901749845,0.710496560897933,32.9637936086165
"TMCO5A",0,0,0,0,0.825151226961416,0.0792188877079993,0,0
"TMCO5B",0.0557734252148038,0,0.145354395097126,0,0.245513454021263,0,0,0
"TMCO6",42.7115467469814,103.337195824444,134.074974343885,68.2601985165851,99.4645783115378,155.817451219517,11.6676429628455,130.608856981365
"TMDD1",1.3408953564093,6.04695712879047,25.3357488238991,0,20.6590768287633,13.7278284263953,27.7652714809068,31.9635478804539
"TMED1",31.9067485266689,92.9499767046126,167.339785895139,224.337559918326,340.153779292477,240.096012261163,357.388879061928,291.360927729457
"TMED10",64.7437732104565,39.3038148499783,356.040437395436,283.592051160161,241.991357319872,293.887759140491,2.77880283877316,459.873752665119
"TMED10P1",0.514624976236595,1.54718271083222,4.02358301474133,3.54217199871041,2.26536840717326,1.10918555770971,223.777899045657,4.67327829794317
